Qid,Category,Topic,Question,ImageName,OptionA,OptionB,OptionC,OptionD,Correct,Marks
GATE15P1Q1,GA,,Didn't you buy _________ when you went shopping?,,any paper,much paper,no paper,a few paper,1,1
GATE15P1Q2,GA,,Which of the following combinations is incorrect?,,Acquiescence - Submission,Wheedle - Roundabout,Flippancy - Lightness,Profligate - Extravagant,2,1
GATE15P1Q3,GA,,"Given set A = {2, 3, 4, 5} and Set B = {11, 12, 13, 14, 15}, two numbers are randomly selected, one from each set. What is probability that the sum of the two numbers equals 16?",,0.2,0.25,0.3,0.33,1,1
GATE15P1Q4,GA,,Which of the following options is the closest in meaning to the sentence below? She enjoyed herself immensely at the party.,,She had a terrible time at the party.,She had a horrible time at the party.,She had a terrific time at the party,She had a terrifying time at the party,3,1
GATE15P1Q5,GA,,"Based on the given statements, select the most appropriate option to solve the given question. If two floors in a certain building are 9 feet apart, how many steps are there in a set of stairs that extends from the first floor to the second floor of the building? Statements: (I) Each step is ¾ foot high. (II) Each step is 1 foot wide.",,"Statement I alone is sufficient, but statement II alone is not sufficient.","Statement II alone is sufficient, but statement I alone is not sufficient.","Both statements together are sufficient, but neither statement alone is sufficient.",Statement I and II together are not sufficient.,4,1
GATE15P1Q6,GA,,"The pie chart below has the breakup of the number of students from different departments in an
engineering college for the year 2012. The proportion of male to female students in each
department is 5:4. There are 40 males in Electrical Engineering. What is the difference between
numbers of female students in the Civil department and the female students in the Mechanical
department?",I001,32,40,28,32.5,1,2
GATE15P1Q7,GA,,Select the alternative meaning of the underlined part of the sentence. The chain snatchers took to their heels when the police party arrived.,,took shelter in a thick jungle,open indiscriminate fire,took to flight,unconditionally surrendered,3,2
GATE15P1Q8,GA,,"The probabilities that a student passes in Mathmatics, Physics and Chemistry are m,p, and c respectively. Of these subjects, the student has 75% chance of passing in at least one, a 50% chance of passing in at least two and a 40% chance of passing in exactly two. Following relations are drawn in m, p, c: (I) p + m + c = 27/20 (II) p + m + c = 13/20 (III) (p)  (m)  (c) = 1/10",,Only relation I is true,Only relation II is true,Relations II and III are true.,Relations I and III are true.,1,2
GATE15P1Q9,GA,,"The given statement is followed by some courses of action. Assuming the statement to be true, decide the correct option. Statement: There has been a significant drop in the water level in the lakes supplying water to the city. Course of action: (I) The water supply authority should impose a partial cut in supply to tackle the situation. (II) The government should appeal to all the residents through mass media for minimal use of water. (III) The government should ban the water supply in lower areas.",,Statements I and II follow.,Statements I and III follow,Statements II and III follow.,All statements follow.,1,2
GATE15P1Q10,GA,,"The number of students in a class who have answered correctly, wrongly, or not attempted each
question in an exam, are listed in the table below. The marks for each question are also listed.
There is no negative or partial marking. What is the average of the marks obtained by the class in the examination?",I002,2.29,2.97,6.795,8.795,2,2
GATE15P1Q11,CS,,Which one of the following is True at any valid state in shift-reduce parsing?,,Viable prefixes appear only at the bottom of the stack and not inside,Viable prefixes appear only at the top of the stack and not inside,The stack contains only a set of viable prefixes,The stack never contains viable prefixes,2,1
GATE15P1Q12,CS,,Match the following,I003,A-2 B-3 C-1 D-4,A-3 B-4 C-2 D-1,A-3 B-1 C-4 D-2,A-3 B-1 C-2 D-4,4,1
GATE15P1Q13,CS,,"For computers based on three-address instruction formats, each address field can be used to
specify which of the following:
S1: A memory operand
S2: A processor register
S3: An implied accumulator register",,Either S1 or S2,Either S2 or S3,Only S2 and S3,"All of S1, S2 and S3",1,1
GATE15P1Q14,CS,,"Which one of the following is the recurrence equation for the worst case time complexity of the
Quicksort algorithm for sorting n(≥ 2) numbers? In the recurrence equations given in the options
below, c is a constant.",,T(n) = 2T (n/2) + cn,T(n) = T(n – 1) + T(1) + cn,T(n) = 2T (n – 2) + cn,T(n) = T(n/2) + cn,2,1
GATE15P1Q15,CS,,"For any two languages L1 and L2 such that L1 is context free and L2 is recursively enumerable but
not recursive, which of the following is/are necessarily true?
I. 1 L (complement of L1) is recursive
II. 2 L (complement of L2) is recursive
III. 1 L is context-free
IV. 1 L  L2 is recursively enumerable",,I only,III only,III and IV only,I and IV only,4,1
GATE15P1Q16,CS,,"Suppose two hosts use a TCP connection to transfer a large file. Which of the following statements is/are FALSE with respect to the TCP connection? I. If the sequence number of a segment is m, then the sequence number of the subsequent segment is always m+1. II. If the estimated round trip time at any given point of time is t sec, the value of the retransmission timeout is always set to greater than or equal to t sec. III. The size of the advertised window never changes during the course of the TCP connection. IV. The number of unacknowledged bytes at the sender is always less than or equal to the advertised window",,III only,I and III only,I and IV only,II and IV only,2,1
